epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9235,0.99977,3.65744,1.15082,0.19231,1,0.995,0.88355,0.64959,3.40608,0.90865,0.00027,0.00027,0.00027
2,28.7549,0.89808,1.9977,1.07579,0.07812,1,0.995,0.78141,0.69896,3.31404,0.95042,0.000544555,0.000544555,0.000544555
3,35.1366,0.86782,1.58554,1.05063,1,0.4422,0.995,0.77623,0.80388,2.66886,1.09649,0.000813566,0.000813566,0.000813566
4,41.5317,0.87689,1.44121,1.04334,1,0.9565,0.995,0.75845,0.70224,1.84711,0.96264,0.0009703,0.0009703,0.0009703
5,47.8947,0.84972,1.30799,1.03503,1,0.58803,0.845,0.68311,0.75048,2.25201,1.03184,0.0009604,0.0009604,0.0009604
6,54.6901,0.81564,1.16663,1.02647,1,0.90425,0.995,0.78276,0.87798,1.76143,1.03348,0.0009505,0.0009505,0.0009505
7,61.0727,0.79147,1.0647,1.01159,0.60807,0.8,0.69069,0.58571,0.55857,1.76192,0.84893,0.0009406,0.0009406,0.0009406
8,67.3606,0.77808,0.94862,1.01032,1,0.9034,0.995,0.82111,0.66903,1.81869,0.97061,0.0009307,0.0009307,0.0009307
9,73.6913,0.79559,0.90653,1.02013,0.99444,1,0.995,0.79874,0.80926,0.80391,1.04826,0.0009208,0.0009208,0.0009208
10,80.1223,0.75856,0.83534,1.00399,0.99054,1,0.995,0.88174,0.5357,0.57621,0.8631,0.0009109,0.0009109,0.0009109
11,86.7569,0.71876,0.77612,0.97415,0.99274,1,0.995,0.85581,0.74012,0.76648,0.998,0.000901,0.000901,0.000901
12,93.3289,0.72352,0.74686,0.99293,0.99108,1,0.995,0.85721,0.6203,0.41506,0.88094,0.0008911,0.0008911,0.0008911
13,99.9772,0.73621,0.72508,1.009,0.99025,1,0.995,0.83767,0.56875,0.3605,0.92441,0.0008812,0.0008812,0.0008812
14,106.628,0.699,0.68188,0.9791,0.99113,1,0.995,0.89944,0.51305,0.38744,0.83526,0.0008713,0.0008713,0.0008713
15,113.166,0.70802,0.65869,0.97728,0.99099,1,0.995,0.8797,0.59968,0.41348,0.88685,0.0008614,0.0008614,0.0008614
16,119.738,0.71026,0.64909,0.98811,0.99052,1,0.995,0.86964,0.53121,0.36334,0.89509,0.0008515,0.0008515,0.0008515
17,126.482,0.66869,0.60522,0.96632,0.99141,1,0.995,0.869,0.57938,0.40933,0.8517,0.0008416,0.0008416,0.0008416
18,133.666,0.67486,0.58307,0.96105,0.99124,1,0.995,0.84712,0.57022,0.35961,0.92631,0.0008317,0.0008317,0.0008317
19,140.772,0.65956,0.55775,0.96545,0.99128,1,0.995,0.93063,0.42113,0.3294,0.81834,0.0008218,0.0008218,0.0008218
20,148.907,0.66309,0.54906,0.96982,0.99103,1,0.995,0.88347,0.46152,0.32923,0.84511,0.0008119,0.0008119,0.0008119
21,156.513,0.64042,0.54163,0.95483,0.99099,1,0.995,0.8831,0.50869,0.32119,0.85304,0.000802,0.000802,0.000802
22,163.893,0.64768,0.53403,0.94819,0.99082,1,0.995,0.92809,0.42469,0.31917,0.84105,0.0007921,0.0007921,0.0007921
23,171.467,0.63428,0.52192,0.94773,0.99049,1,0.995,0.92015,0.44255,0.35336,0.8175,0.0007822,0.0007822,0.0007822
24,179.096,0.63443,0.51219,0.95091,0.99103,1,0.995,0.91292,0.43233,0.27675,0.89347,0.0007723,0.0007723,0.0007723
25,186.409,0.60228,0.50012,0.93513,0.99087,1,0.995,0.96377,0.36398,0.27929,0.79357,0.0007624,0.0007624,0.0007624
26,193.951,0.62147,0.4882,0.95263,0.9912,1,0.995,0.92288,0.49862,0.32108,0.84405,0.0007525,0.0007525,0.0007525
27,201.749,0.61275,0.49131,0.94732,0.99096,1,0.995,0.90277,0.45938,0.28972,0.8152,0.0007426,0.0007426,0.0007426
28,208.51,0.62941,0.4857,0.95326,1,0.99747,0.995,0.8955,0.56105,0.38973,0.88531,0.0007327,0.0007327,0.0007327
29,215.148,0.60839,0.45474,0.93333,1,1,0.995,0.86123,0.5571,0.36091,0.89259,0.0007228,0.0007228,0.0007228
30,221.741,0.6001,0.45325,0.93783,0.99072,1,0.995,0.93999,0.41147,0.31008,0.81887,0.0007129,0.0007129,0.0007129
31,228.314,0.5877,0.45501,0.93909,1,1,0.995,0.9435,0.37613,0.25261,0.80146,0.000703,0.000703,0.000703
32,234.884,0.57933,0.45282,0.93101,0.99106,1,0.995,0.94408,0.37136,0.269,0.80428,0.0006931,0.0006931,0.0006931
33,241.496,0.58669,0.45065,0.92716,0.99168,1,0.995,0.95037,0.39163,0.28765,0.80296,0.0006832,0.0006832,0.0006832
34,248.139,0.57121,0.43894,0.92662,0.99111,1,0.995,0.90442,0.40107,0.23027,0.8147,0.0006733,0.0006733,0.0006733
35,254.71,0.57754,0.43781,0.9224,0.99112,1,0.995,0.9385,0.45389,0.25914,0.79768,0.0006634,0.0006634,0.0006634
36,261.363,0.57611,0.43854,0.92748,1,1,0.995,0.9593,0.35197,0.27113,0.79702,0.0006535,0.0006535,0.0006535
37,267.943,0.55098,0.42385,0.92273,0.99086,1,0.995,0.95058,0.43022,0.26823,0.8088,0.0006436,0.0006436,0.0006436
38,274.541,0.57955,0.42946,0.92838,0.99127,1,0.995,0.93517,0.37437,0.19941,0.80035,0.0006337,0.0006337,0.0006337
39,281.17,0.55792,0.42676,0.93455,0.99115,1,0.995,0.90615,0.39836,0.25775,0.7981,0.0006238,0.0006238,0.0006238
40,287.773,0.54774,0.40335,0.92629,0.99126,1,0.995,0.92542,0.41078,0.26671,0.80611,0.0006139,0.0006139,0.0006139
41,294.366,0.54934,0.3968,0.92079,0.99089,1,0.995,0.973,0.32421,0.21419,0.78035,0.000604,0.000604,0.000604
42,300.996,0.54212,0.4005,0.91742,1,1,0.995,0.9231,0.43781,0.26871,0.83747,0.0005941,0.0005941,0.0005941
43,307.646,0.53461,0.3958,0.90277,1,1,0.995,0.9435,0.33824,0.23604,0.81379,0.0005842,0.0005842,0.0005842
44,314.261,0.5284,0.39035,0.91455,1,1,0.995,0.9101,0.46568,0.3119,0.79423,0.0005743,0.0005743,0.0005743
45,320.857,0.52784,0.38411,0.90857,1,1,0.995,0.9075,0.49569,0.24234,0.85141,0.0005644,0.0005644,0.0005644
46,327.426,0.54421,0.39279,0.91845,0.99108,1,0.995,0.8955,0.4839,0.23964,0.83106,0.0005545,0.0005545,0.0005545
47,334.005,0.51393,0.37613,0.90444,1,1,0.995,0.90847,0.38191,0.24066,0.80153,0.0005446,0.0005446,0.0005446
48,340.546,0.52661,0.37101,0.90865,0.99102,1,0.995,0.90442,0.44653,0.256,0.83095,0.0005347,0.0005347,0.0005347
49,347.17,0.5032,0.37331,0.90848,0.99114,1,0.995,0.88613,0.44258,0.23857,0.83302,0.0005248,0.0005248,0.0005248
50,353.76,0.50813,0.37565,0.90936,0.99079,1,0.995,0.95769,0.38582,0.25289,0.80486,0.0005149,0.0005149,0.0005149
51,360.37,0.51293,0.37013,0.90638,0.99129,1,0.995,0.94912,0.39435,0.23066,0.80615,0.000505,0.000505,0.000505
52,366.999,0.51543,0.37547,0.91086,1,1,0.995,0.9235,0.42178,0.24481,0.83033,0.0004951,0.0004951,0.0004951
53,373.581,0.48989,0.35739,0.9041,0.99098,1,0.995,0.8955,0.49768,0.21741,0.81834,0.0004852,0.0004852,0.0004852
54,380.208,0.49121,0.35175,0.90865,1,1,0.995,0.9101,0.44521,0.25049,0.8292,0.0004753,0.0004753,0.0004753
55,386.765,0.50356,0.35004,0.90327,1,1,0.995,0.92545,0.43065,0.20962,0.81104,0.0004654,0.0004654,0.0004654
56,393.405,0.5,0.357,0.908,1,1,0.995,0.9101,0.45854,0.25152,0.84757,0.0004555,0.0004555,0.0004555
57,400.087,0.48853,0.34609,0.90432,1,1,0.995,0.9435,0.34966,0.20405,0.80334,0.0004456,0.0004456,0.0004456
58,406.687,0.48329,0.33807,0.89432,1,1,0.995,0.9513,0.34708,0.17619,0.79311,0.0004357,0.0004357,0.0004357
59,413.335,0.48032,0.33547,0.89073,1,1,0.995,0.9435,0.37268,0.21532,0.82253,0.0004258,0.0004258,0.0004258
60,419.926,0.48675,0.34064,0.90326,1,1,0.995,0.92745,0.4386,0.22149,0.83102,0.0004159,0.0004159,0.0004159
61,426.574,0.48689,0.34353,0.89767,1,1,0.995,0.92745,0.49643,0.25502,0.83706,0.000406,0.000406,0.000406
62,433.182,0.46373,0.3279,0.89784,1,1,0.995,0.9435,0.40521,0.2143,0.82679,0.0003961,0.0003961,0.0003961
63,439.855,0.46409,0.33339,0.89404,1,1,0.995,0.94613,0.34231,0.21425,0.81212,0.0003862,0.0003862,0.0003862
64,446.47,0.46632,0.32496,0.89684,1,1,0.995,0.9435,0.37387,0.20297,0.80102,0.0003763,0.0003763,0.0003763
65,453.095,0.47552,0.33154,0.88601,1,1,0.995,0.9435,0.33039,0.17718,0.78701,0.0003664,0.0003664,0.0003664
66,459.681,0.4613,0.31886,0.89443,1,1,0.995,0.9435,0.39912,0.21449,0.81741,0.0003565,0.0003565,0.0003565
67,466.512,0.45342,0.32253,0.88359,1,1,0.995,0.9235,0.40431,0.19611,0.8232,0.0003466,0.0003466,0.0003466
68,473.186,0.45678,0.32777,0.88713,1,1,0.995,0.94613,0.38627,0.19987,0.80748,0.0003367,0.0003367,0.0003367
69,479.842,0.44746,0.32333,0.88311,1,1,0.995,0.9435,0.34889,0.20127,0.81645,0.0003268,0.0003268,0.0003268
70,486.607,0.4541,0.31711,0.89185,1,1,0.995,0.9435,0.36102,0.18444,0.81605,0.0003169,0.0003169,0.0003169
71,493.33,0.45496,0.31648,0.88902,1,1,0.995,0.92545,0.40994,0.21488,0.81159,0.000307,0.000307,0.000307
72,500.273,0.44153,0.30837,0.88393,1,1,0.995,0.94613,0.35014,0.18885,0.82405,0.0002971,0.0002971,0.0002971
73,507.63,0.4259,0.30351,0.87509,1,1,0.995,0.94613,0.33282,0.2111,0.80428,0.0002872,0.0002872,0.0002872
74,514.575,0.43291,0.30019,0.88143,1,1,0.995,0.94613,0.3603,0.18415,0.8039,0.0002773,0.0002773,0.0002773
75,521.28,0.42974,0.29992,0.88247,1,1,0.995,0.9435,0.3663,0.22266,0.81945,0.0002674,0.0002674,0.0002674
76,528.322,0.43937,0.30218,0.88517,1,1,0.995,0.9101,0.41413,0.20101,0.8233,0.0002575,0.0002575,0.0002575
77,535.185,0.44169,0.3005,0.88205,1,1,0.995,0.92545,0.41442,0.17286,0.82522,0.0002476,0.0002476,0.0002476
78,542.114,0.42291,0.29124,0.87858,1,1,0.995,0.93403,0.35998,0.17748,0.82567,0.0002377,0.0002377,0.0002377
79,548.725,0.41991,0.28494,0.87989,1,1,0.995,0.9435,0.35717,0.18918,0.80988,0.0002278,0.0002278,0.0002278
80,555.338,0.42785,0.29387,0.88772,1,1,0.995,0.9435,0.36721,0.16332,0.80892,0.0002179,0.0002179,0.0002179
81,561.95,0.41401,0.28921,0.88189,1,1,0.995,0.9435,0.38121,0.22897,0.8193,0.000208,0.000208,0.000208
82,568.757,0.41585,0.28588,0.86995,1,1,0.995,0.9435,0.3575,0.1933,0.81553,0.0001981,0.0001981,0.0001981
83,575.403,0.4079,0.29032,0.87464,1,1,0.995,0.9435,0.35149,0.16972,0.81428,0.0001882,0.0001882,0.0001882
84,582.028,0.41188,0.28019,0.87838,1,1,0.995,0.9675,0.32935,0.16779,0.82361,0.0001783,0.0001783,0.0001783
85,588.71,0.4002,0.27835,0.87288,1,1,0.995,0.95243,0.3414,0.1609,0.8104,0.0001684,0.0001684,0.0001684
86,595.337,0.39718,0.27611,0.86855,1,1,0.995,0.9673,0.35233,0.17055,0.80946,0.0001585,0.0001585,0.0001585
87,601.948,0.39054,0.26869,0.86872,1,1,0.995,0.9714,0.32329,0.16708,0.80996,0.0001486,0.0001486,0.0001486
88,608.623,0.40348,0.28252,0.87084,1,1,0.995,0.92745,0.3602,0.17575,0.82307,0.0001387,0.0001387,0.0001387
89,615.246,0.3995,0.27288,0.87407,1,1,0.995,0.92745,0.34903,0.14981,0.80868,0.0001288,0.0001288,0.0001288
90,621.914,0.39342,0.2733,0.8697,1,1,0.995,0.94613,0.30428,0.15292,0.81632,0.0001189,0.0001189,0.0001189
91,649.975,0.31249,0.21237,0.80817,1,1,0.995,0.9673,0.31207,0.15895,0.81219,0.000109,0.000109,0.000109
92,656.54,0.30285,0.20999,0.81217,1,1,0.995,0.94613,0.30941,0.15998,0.81212,9.91e-05,9.91e-05,9.91e-05
93,663.046,0.30131,0.20722,0.80847,1,1,0.995,0.94613,0.33003,0.17093,0.80937,8.92e-05,8.92e-05,8.92e-05
94,669.594,0.29824,0.20512,0.81307,1,1,0.995,0.94613,0.34223,0.1611,0.80929,7.93e-05,7.93e-05,7.93e-05
95,676.326,0.29112,0.20064,0.79771,1,1,0.995,0.94613,0.32928,0.159,0.81182,6.94e-05,6.94e-05,6.94e-05
96,683.021,0.29389,0.20201,0.80335,1,1,0.995,0.9513,0.32203,0.13733,0.80635,5.95e-05,5.95e-05,5.95e-05
97,689.483,0.28628,0.19871,0.80012,1,1,0.995,0.95263,0.32044,0.15506,0.80353,4.96e-05,4.96e-05,4.96e-05
98,696.002,0.28658,0.19971,0.80521,1,1,0.995,0.9573,0.33453,0.16824,0.80883,3.97e-05,3.97e-05,3.97e-05
99,702.54,0.28527,0.19544,0.80307,1,1,0.995,0.9573,0.31602,0.15577,0.80923,2.98e-05,2.98e-05,2.98e-05
100,709.155,0.2782,0.19585,0.80235,1,1,0.995,0.9573,0.3225,0.15448,0.80703,1.99e-05,1.99e-05,1.99e-05
